path,name,format,sources,metadata
raw/public,tdcontrolids.txt,csv,"status id's for Twitter search via rtweet (all results, unfiltered)",see metadata\readme.md
raw/public,teventids.txt,csv,"status id's for Twitter search via rtweet (all results, unfiltered)",see metadata\readme.md
raw/private,tdcontrol_raw.RDS,R data,"tweet data, filtered with geographic coordinates (control)",see metadata\readme.md
raw/private,tevent_raw.RDS,R data,"tweet data for Hurricane Ida tweets, filtered with geographic coordinates ",see metadata\readme.md
raw/private,tevent_raw2.RDS,R data,"tweet data for Hurricane Ida tweets, filtered with geographic coordinates",see metadata\readme.md
raw/private,tevent_raw3.RDS,R data,"tweet data for Hurricane Ida tweets, filtered with geographic coordinates",see metadata\readme.md
raw/private,tevent_raw4.RDS,R data,"tweet data for Hurricane Ida tweets, filtered with geographic coordinates",see metadata\readme.md
derived/private,tdcontrol.RDS,R data,"tweet data, filtered with geographic coordinates (control)",see metadata\readme.md
derived/private,tevent.RDS,R data,"tweet data for Hurricane Ida tweets, filtered with geographic coordinates",see metadata\readme.md
derived/public,counties_tweet_counts_ne.RDS,R data,"counties with counts of Ida tweets and control tweets, normalized tweet difference index, and tweets per 10 000 people, NE US",see metadata\readme.md
derived/public,counties_tweet_counts_se.RDS,R data,"counties with counts of Ida tweets and control tweets, normalized tweet difference index, and tweets per 10 000 people, SE US",see metadata\readme.md
derived/public,counties_tweet_counts.RDS,R data,"counties with counts of Ida tweets and control tweets, normalized tweet difference index, and tweets per 10 000 people",see metadata\readme.md
derived/public,counties.RDS,R data,census data for counties in Eastern U.S. queried with tidycensus,
